Text/Size
pocos;41
España,;41
sabio;41
padres;41
quedar;41
vuestros;40
Lotario,;40
hija,;40
renegado;40
buscando;40
instante;40
oyó;40
pedir;40
esos;40
otra,;40
mejores;40
llevó;40
encantadores;40
enemigo;40
mujer,;40
Yo,;40
Aquí;40
cosa,;40
suelo;40
ciudad,;40
Las;40
cosas,;40
bondad;40
discreción;40
sangre;40
provecho;39
Luscinda,;39
vuelto;39
silla;39
hidalgo;39
conocer;39
asno;39
anda;39
punto,;39
venido;39
opinión;39
todavía;39
verdadera;39
favor;39
tal,;39
No,;39
verá;39
jumento,;39
dentro;39
Toboso;39
imaginación;39
carro;38
culpa;38
alcanzar;38
asno,;38
azotes;38
alzó;38
mía;38
pecho;38
suyo,;38
¿Cómo;38
barbas;38
verse;38
Mas,;38
oyeron;38
toca;38
vencido;38
días,;38
salud;38
visto,;38
contó;38
podían;38
della,;38
mira;38
término;38
llegado;37
ínsula,;37
dél,;37
alguno,;37
muestra;37
triste;37
cuál;37
sepa;37
vestidos;37
andantes,;37
silencio;37
nada,;37
corazón,;37
discreto;37
tuvieron;37
obras;37
peor;37
fuerzas;37
cura?,;37
respuesta;37
verdadero;37
fortuna;37
muerte,;37
deja;36
sois;36
general;36
Ahora;36
criado;36
decía,;36
tornó;36
llevaba;36
amigos;36
hará;36
entendimiento;36
servido;36
letras;36
gentil;36
señales;36
lleva;36
desgracia;36
this;36
oficio;36
volvieron;36
personas;36
oro,;36
Zoraida,;36
Mancha;36
Cide;36
deseos;36
cuerpo,;35
boca,;35
cargo;35
decía:;35
uno,;35
Antonio;35
enamorado;35
presencia;35
historias;35
grandísimo;35
claro;35
Vuestra;35
escrito;35
vamos;35
verdaderamente;35
saber,;35
ama;35
dice,;35
versos;35
mucho,;35
poeta;35
tenía,;35
armado;35
aquél;35
hermano,;35
mas,;35
trata;34
gloria;34
echar;34
pasaron;34
pudiese;34
cien;34
esperanza;34
Santa;34
Sancho?:;34
vivir;34
quieren;34
ruido;34
cuales,;34
tengo,;34
salido;34
correr;34
fuesen;34
vienen;33
nombre,;33
llevado;33
mundo;;33
lanza;33
creyendo;33
oídos;33
dueñas;33
voces,;33
quisiere;33
moros;33
efecto,;33
Esto;33
Esta;33
estremo;33
supo;33
levantó;33
hombre,;33
costumbre;33
cualquier;32
seguro;32
Amadís;32
molido;32
work;32
gobierno,;32
alto;32
malos;32
facilidad;32
allí,;32
hablando;32
cualquiera;32
mar;32
leyes;32
viniese;32
consejo;32
admiración;32
sobrina;32
verde;32
voluntad,;32
oyendo;32
conocido;32
tierra.;32
parece,;32
espaldas;32
recebir;32
hermosura,;32
suyo;32
do;32
Su;32
desdichado;32
guardar;32
deje;31
mostraba;31
soy,;31
ocho;31
obra;31
querido;31
burla;31
volviéndose;31
escudos;31
efeto,;31
uso;31
sale;31
justo;31
plática;31
fui;31
Cardenio,;31
Digo;31
ponerse;31
any;31
cristiano;31
risa;31
echó;31
recibió;31
veces,;31
pecho,;31
podré;31
San;31
tuviera;31
hallaron;31
caballerías;31
punta;31
parar;31
segunda;31
Al;31
hecha;30
caballerías,;30
haberle;30
venganza;30
dineros;30
basta;30
debió;30
presentes;30
obligado;30
juicio,;30
cristianos;30
belleza;30
cautivo;30
sabes;30
señoras;30
vale;30
licenciado;29
hijos;29
hice;29
sucedido;29
otros,;29
decir:;29
mujeres;29
nadie,;29
horas;29
título;29
pies,;29
discreta;29
tiempos;29
Diego;29
hiciese;29
real;29
silencio,;29
moro;29
manera:;29
parecen;29
volviendo;29
doce;29
vaya;29
prosiguió;29
Este;29
mal,;29
Montesinos,;28
traje;28
forzoso;28
cristianos,;28
usar;28
amores;28
seguir;28
pareciéndole;28
sea,;28
hacerle;28
También;28
Zoraida;28
mostró;28
andado;28
suya,;28
jumento;28
enemigos;28
rogó;28
hechos;28
solamente;28
rey,;28
voz,;28
costa;28
cumplir;28
blanco;28
puedes;28
agravio;28
dos,;28
honestidad;28
agora,;28
cuyas;28
hizo,;28
Carrasco,;28
electronic;27
dueño;27
alguna.;27
pagar;27
gigante;27
diciéndole:;27
alegre;27
mesmos;27
pensamientos,;27
daban;27
grado;27
alma,;27
pone;27
bueno,;27
amistad;27
tomado;27
